UserID,Age,Gender,VRHeadset,Duration,MotionSickness,ImmersionLevel,AgeGroup,SessionCategory,HighImmersion,SevereSickness
1,40,Male,Htc Vive,13.6,8,5,Adulto,Corta,True,True
2,43,Female,Htc Vive,19.95,2,2,Adulto,Media,False,False
3,27,Male,Playstation Vr,16.54,4,2,Adulto joven,Media,False,False
4,33,Male,Htc Vive,42.57,6,3,Adulto joven,Larga,False,False
5,51,Male,Playstation Vr,22.45,4,2,Adulto,Media,False,False
6,46,Other,Oculus Rift,28.28,7,4,Adulto,Media,True,True
7,49,Other,Oculus Rift,52.3,7,3,Adulto,Larga,False,True
8,42,Other,Oculus Rift,22.96,8,2,Adulto,Media,False,True
9,56,Female,Playstation Vr,16.86,5,1,Adulto mayor,Media,False,False
10,60,Male,Oculus Rift,34.47,5,4,Adulto mayor,Media,True,False
11,37,Male,Oculus Rift,43.37,2,1,Adulto joven,Larga,False,False
12,23,Other,Playstation Vr,25.11,8,4,Joven,Media,True,True
13,45,Male,Playstation Vr,58.14,5,3,Adulto,Larga,False,False
14,28,Female,Playstation Vr,25.98,5,5,Adulto joven,Media,True,False
15,23,Male,Htc Vive,57.15,7,4,Joven,Larga,True,True
16,34,Female,Oculus Rift,44.7,1,3,Adulto joven,Larga,False,False
17,48,Male,Playstation Vr,22.86,10,5,Adulto,Media,True,True
18,54,Male,Playstation Vr,36.81,4,2,Adulto,Larga,False,False
19,35,Other,Oculus Rift,48.29,10,1,Adulto joven,Larga,False,True
20,27,Other,Oculus Rift,15.8,7,2,Adulto joven,Media,False,True
21,25,Other,Oculus Rift,36.5,10,1,Adulto joven,Larga,False,True
22,57,Male,Oculus Rift,23.58,4,3,Adulto mayor,Media,False,False
23,38,Female,Oculus Rift,35.35,4,5,Adulto joven,Larga,True,False
24,60,Female,Oculus Rift,44.65,10,5,Adulto mayor,Larga,True,True
25,41,Other,Playstation Vr,5.28,5,5,Adulto,Corta,True,False
26,28,Female,Playstation Vr,26.69,9,1,Adulto joven,Media,False,True
27,60,Other,Oculus Rift,15.26,3,3,Adulto mayor,Media,False,False
28,24,Male,Htc Vive,34.09,7,3,Joven,Media,False,True
29,30,Other,Htc Vive,57.41,4,4,Adulto joven,Larga,True,False
30,59,Female,Oculus Rift,11.52,6,3,Adulto mayor,Corta,False,False
31,31,Male,Oculus Rift,32.52,7,1,Adulto joven,Media,False,True
32,25,Other,Htc Vive,21.0,6,3,Adulto joven,Media,False,False
33,39,Female,Playstation Vr,18.35,1,5,Adulto joven,Media,True,False
34,49,Male,Playstation Vr,28.81,10,1,Adulto,Media,False,True
35,23,Other,Playstation Vr,20.1,3,1,Joven,Media,False,False
36,53,Female,Oculus Rift,45.5,10,5,Adulto,Larga,True,True
37,54,Other,Oculus Rift,37.73,5,3,Adulto,Larga,False,False
38,41,Male,Oculus Rift,52.72,3,4,Adulto,Larga,True,False
39,43,Female,Playstation Vr,6.12,10,3,Adulto,Corta,False,True
40,45,Other,Playstation Vr,39.83,9,2,Adulto,Larga,False,True
41,30,Female,Playstation Vr,10.31,9,4,Adulto joven,Corta,True,True
42,33,Male,Htc Vive,40.55,5,1,Adulto joven,Larga,False,False
43,53,Female,Htc Vive,6.42,3,2,Adulto,Corta,False,False
44,19,Other,Playstation Vr,14.9,10,1,Joven,Corta,False,True
45,51,Female,Playstation Vr,58.53,10,5,Adulto,Larga,True,True
46,41,Other,Playstation Vr,19.3,6,4,Adulto,Media,True,False
47,39,Female,Htc Vive,21.04,2,4,Adulto joven,Media,True,False
48,29,Female,Playstation Vr,14.87,6,4,Adulto joven,Corta,True,False
49,37,Female,Oculus Rift,46.2,8,5,Adulto joven,Larga,True,True
50,36,Female,Oculus Rift,13.86,5,1,Adulto joven,Corta,False,False
51,49,Female,Oculus Rift,16.85,2,4,Adulto,Media,True,False
52,34,Other,Oculus Rift,41.02,7,3,Adulto joven,Larga,False,True
53,46,Other,Playstation Vr,48.89,6,2,Adulto,Larga,False,False
54,54,Male,Htc Vive,53.92,5,2,Adulto,Larga,False,False
55,38,Female,Oculus Rift,18.43,7,1,Adulto joven,Media,False,True
56,45,Male,Htc Vive,49.64,6,2,Adulto,Larga,False,False
57,58,Other,Playstation Vr,43.97,5,2,Adulto mayor,Larga,False,False
58,38,Female,Oculus Rift,51.38,3,2,Adulto joven,Larga,False,False
59,46,Other,Htc Vive,57.21,9,1,Adulto,Larga,False,True
60,36,Other,Htc Vive,23.9,7,1,Adulto joven,Media,False,True
61,50,Other,Oculus Rift,14.67,8,4,Adulto,Corta,True,True
62,44,Other,Oculus Rift,51.69,4,1,Adulto,Larga,False,False
63,56,Male,Playstation Vr,50.04,6,3,Adulto mayor,Larga,False,False
64,47,Male,Htc Vive,50.53,2,5,Adulto,Larga,True,False
65,43,Male,Playstation Vr,17.27,10,2,Adulto,Media,False,True
66,54,Male,Htc Vive,42.76,7,2,Adulto,Larga,False,True
67,29,Female,Playstation Vr,13.47,8,5,Adulto joven,Corta,True,True
68,57,Male,Playstation Vr,5.54,6,5,Adulto mayor,Corta,True,False
69,23,Male,Htc Vive,48.57,6,4,Joven,Larga,True,False
70,43,Male,Htc Vive,39.57,9,3,Adulto,Larga,False,True
71,55,Other,Playstation Vr,25.27,1,1,Adulto mayor,Media,False,False
72,49,Female,Htc Vive,8.11,4,2,Adulto,Corta,False,False
73,60,Other,Playstation Vr,48.86,5,5,Adulto mayor,Larga,True,False
74,35,Female,Htc Vive,50.73,7,2,Adulto joven,Larga,False,True
75,19,Male,Playstation Vr,41.27,10,3,Joven,Larga,False,True
76,42,Female,Playstation Vr,44.97,6,4,Adulto,Larga,True,False
77,47,Male,Playstation Vr,27.19,7,4,Adulto,Media,True,True
78,44,Female,Oculus Rift,53.99,7,1,Adulto,Larga,False,True
79,36,Female,Playstation Vr,32.98,5,2,Adulto joven,Media,False,False
80,28,Female,Playstation Vr,51.64,9,5,Adulto joven,Larga,True,True
81,27,Male,Htc Vive,42.17,1,4,Adulto joven,Larga,True,False
82,35,Other,Playstation Vr,44.11,5,3,Adulto joven,Larga,False,False
83,26,Female,Playstation Vr,28.81,2,1,Adulto joven,Media,False,False
84,37,Female,Playstation Vr,57.98,8,3,Adulto joven,Larga,False,True
